Song,Artist,Album,Cover,Duration,Bitrate,Popularity,MV Link,Paid,Release Date
São Gonçalo,Paul B.Ny.,Acoustic.Brasilcappella.Vol.2,http://p1.music.126.net/gtd4XOlMVNu5cbzpLbED-A==/109951169718655668.jpg,2:56,555 kbps,85,,是,2024-06-24
Devil's Got a Gun,Whitehorse,The Fate of the World Depends on This Kiss,http://p2.music.126.net/-G-51QRxasRgVFqxVOm6Lw==/109951163413244153.jpg,3:39,939 kbps,90,,是,2012-08-28
Therapist,Mae Muller,Therapist,http://p1.music.126.net/ExSPi3ZOmuKfo-PKfXPJrA==/109951164644213340.jpg,3:03,903 kbps,90,https://music.163.com/mv?id=14202268,是,2020-01-23
Pico Union,Brazzaville,Chaka,http://p1.music.126.net/UMQfTyzH3kurQ5NhPR5ezQ==/109951169136161357.jpg,2:56,928 kbps,90,,是,2023-12-25
Bye Bye Baby,苏慧伦,左撇子 旋转门,http://p2.music.126.net/XYxjqau2sd9J2uL1_PqbbA==/109951165422714330.jpg,3:10,1597 kbps,90,,是,2007-01-01
Separate Ways,Craig David,The Story Goes...,http://p1.music.126.net/0qEh1tC1ngCdGEpX7ba3zQ==/109951168655688942.jpg,4:01,1730 kbps,90,https://music.163.com/mv?id=14401676,是,2005-09-05
Sakura Memory Pt2-夜桜,Otokaze,OTOKAZE,http://p1.music.126.net/Tknw0BpRZFsmZ7AkqETVEw==/722379139460904.jpg,4:00,915 kbps,85,,是,2012-06-29
snowflake,Powfu / Jaden / Sarcastic Sounds,tell me your feelings and i won't tell you mine,http://p2.music.126.net/NFGdORwyR9rlzgBzuFKmTw==/109951166489776456.jpg,3:07,1471 kbps,100,https://music.163.com/mv?id=14381874,是,2021-10-08
Over the Rainbow featuring KEYCO,Michita,Sense of Values,http://p1.music.126.net/1xhXE_D159wPH3lhsBMHww==/6623458045944882.jpg,5:32,860 kbps,90,,是,2014-05-21
Maps,Emancipator,Soon It Will Be Cold Enough,http://p2.music.126.net/D6iI5xC4YnU9Su98saS5_Q==/109951164852515096.jpg,4:22,813 kbps,80,,否,2007-12-03
Loves Me Not,t.A.T.u.,t.A.T.u. - The Best,http://p1.music.126.net/qf9PXhVAzCM590rbPy5QcQ==/109951166179188342.jpg,2:55,1709 kbps,100,,是,2006-01-01
