歌曲名,歌手,专辑,封面,播放次数,播放得分,发行时间,时长,是否VIP,是否已购买,MV,音质
沙龙,陈奕迅,H3M,http://p2.music.126.net/RmdCYKF2ZQiAlgFmcsIOeQ==/18958878997954526.jpg,227,91,2009/1/1,4:34,是,是,https://music.163.com/mv?id=331038,无损（1639kbps）
倾城 (Live),陈奕迅,Concert YY 黄伟文作品展 演唱会,http://p2.music.126.net/eVNxevw1W5lyBmdq18tMJw==/109951163639097093.jpg,204,82,2012/10/3,4:09,否,否,https://music.163.com/mv?id=395062,高品质（861kbps）
半岛铁盒,周杰伦,八度空间,http://p2.music.126.net/eDfuSni9ZWToHdqilVRI_w==/109951166698447900.jpg,202,81,2002/7/18,5:19,否,否,https://music.163.com/mv?id=28118,高品质（948kbps）
阿牛,陈奕迅,U87,http://p2.music.126.net/IhX_Nk136h0_O-Cvzhgt8Q==/109951170175577570.jpg,186,75,2005/1/1,3:22,是,是,https://music.163.com/mv?id=14235410,高品质（851kbps）
Old Memory,市川淳,『ヨスガノソラ』オリジナルサウンドトラック-New-,http://p2.music.126.net/e61ZBk2etq73tyr1DTtO_Q==/109951169946988220.jpg,184,74,2011/2/23,1:52,是,是,,高品质（668kbps）
人来人往 (Live),陈奕迅,Get A Life (Live),http://p2.music.126.net/hHm8OI-7jXXH2TlAIpf1LQ==/109951170541171178.jpg,183,73,2006/4/20,4:31,是,是,https://music.163.com/mv?id=14264616,高品质（816kbps）
暁の車,FictionJunction / 南里侑香,暁の車,http://p1.music.126.net/aK5v-lsXgqJaYYmw10gnkw==/5796625301669273.jpg,181,72,2004/9/22,5:04,否,否,,高品质（944kbps）
ヨスガノソラ メインテーマ -遠い空へ-,市川淳,『ヨスガノソラ』オリジナルサウンドトラック-New-,http://p1.music.126.net/e61ZBk2etq73tyr1DTtO_Q==/109951169946988220.jpg,167,67,2011/2/23,3:31,是,是,,高品质（713kbps）
园游会,周杰伦,七里香,http://p1.music.126.net/P1goeQ7SoxEkFsb4ZDijMw==/7746059418324672.jpg,154,62,2004/8/3,4:15,否,否,https://music.163.com/mv?id=185018,高品质（921kbps）
晴天,周杰伦,叶惠美,http://p1.music.126.net/ZGffiDQZrGj5s_hnR1CNbg==/109951165566379710.jpg,150,60,2003/7/31,4:29,否,否,https://music.163.com/mv?id=504177,高品质（935kbps）
七里香,周杰伦,七里香,http://p1.music.126.net/P1goeQ7SoxEkFsb4ZDijMw==/7746059418324672.jpg,149,60,2004/8/3,4:59,否,否,https://music.163.com/mv?id=185014,高品质（960kbps）
My Molasses,AWOLNATION,Here Come the Runts,http://p1.music.126.net/tczGmPxzjYYLt5iX_l_avA==/109951166451614250.jpg,143,57,2018/2/2,3:32,是,是,,无损（1549kbps）
落花流水,陈奕迅,Solidays 新曲+精选,http://p1.music.126.net/Qs7rthgurYD-OISrms8hng==/109951166050592954.jpg,141,56,2009/1/1,4:01,是,是,https://music.163.com/mv?id=14221123,无损（1575kbps）
搁浅,周杰伦,七里香,http://p1.music.126.net/P1goeQ7SoxEkFsb4ZDijMw==/7746059418324672.jpg,140,56,2004/8/3,4:00,否,否,https://music.163.com/mv?id=506114,高品质（873kbps）
Seven Sticks of Dynamite,AWOLNATION,Here Come the Runts,http://p1.music.126.net/tczGmPxzjYYLt5iX_l_avA==/109951166451614250.jpg,123,49,2018/2/2,4:06,是,是,https://music.163.com/mv?id=5763067,无损（1486kbps）
对不起,周杰伦,范特西,http://p1.music.126.net/7R4UhE4MBErGHvI-dB3Rzg==/109951165606034156.jpg,120,48,2001/9/14,3:45,否,否,https://music.163.com/mv?id=421025,高品质（992kbps）
Initial D ~Hyper Mega Mix~  Space Boy,SUPER EUROBEAT,SUPER EUROBEAT PRESENTS INITIAL D MILLENNIUM BOX,http://p1.music.126.net/OAEaSMCLXDXUDDGkSZ9OPg==/890604418522116.jpg,119,47,2000/9/27,13:41,否,否,,无损（1114kbps）
ヨスガノソラ メインテーマ -記憶-,市川淳,『ヨスガノソラ』オリジナルサウンドトラック-New-,http://p1.music.126.net/e61ZBk2etq73tyr1DTtO_Q==/109951169946988220.jpg,119,47,2011/2/23,3:00,是,是,,高品质（646kbps）
"Waltz, Op. 69 No. 2 in B Minor (Remastered)",Arthur Rubinstein,Chopin: Waltzes & Impromptus - Classic Library Series,http://p1.music.126.net/-8aMhdgluGUmHvRQ-a6Luw==/109951165995740724.jpg,116,46,2004/4/30,3:52,是,是,,无损（1176kbps）
爷爷泡的茶,周杰伦,八度空间,http://p1.music.126.net/eDfuSni9ZWToHdqilVRI_w==/109951166698447900.jpg,114,45,2002/7/18,4:00,否,否,https://music.163.com/mv?id=154067,高品质（994kbps）
il vento d'oro,菅野祐悟,ジョジョの奇妙な冒険 黄金の风 O.S.T vol.1 Overture,http://p1.music.126.net/ytaRi0MzsFGRGHOvjXWU9A==/109951169571714710.jpg,112,45,2018/12/19,4:55,是,是,,高品质（925kbps）
風の住む街（风居住的街道）,磯村由紀子,風の住む街 (风居住的街道),http://p1.music.126.net/6HDplrwRcFXx9_gi1dH-tg==/109951169708837484.jpg,110,44,2003/11/21,4:45,是,是,,高品质（647kbps）
夏祭り、夢花火。,妹尾武,TVアニメーション いなり、こんこん、恋いろは。 オリジナルサウンドトラック,http://p1.music.126.net/Ci18FchnB6Z7I4ybjVpALw==/6007731534416117.jpg,109,43,2014/3/26,4:03,否,否,,高品质（789kbps）
朵,赵雷,无法长大,http://p1.music.126.net/-noYXenVuiTrlcxrCqNPjQ==/109951169213362679.jpg,107,43,2016/12/21,4:52,是,是,,高品质（903kbps）
无人之境(Live),陈奕迅,DUO 陈奕迅2010演唱会,http://p1.music.126.net/7dbK-A_In2Wol92TDMYIGw==/6636652185368776.jpg,106,42,2010/1/1,4:12,是,是,https://music.163.com/mv?id=14271799,高品质（894kbps）
